investment_id,funding_round_id,funded_object_id,investor_object_id,created_at,updated_at
41,27,c:34,f:127,2007-06-13 09:04:50,2013-09-06 11:20:07
42,27,c:34,f:67,2007-06-13 09:04:50,2013-09-06 11:20:07
43,28,c:34,f:127,2007-06-13 09:05:28,2013-09-06 11:20:07
44,28,c:34,f:67,2007-06-13 09:05:28,2013-09-06 11:20:07
45,29,c:27,f:17,2007-06-13 09:33:11,2008-05-20 20:43:02
46,29,c:27,f:1080,2007-06-13 09:33:11,2008-05-20 20:43:02
47,30,c:27,f:262,2007-06-13 09:33:45,2010-03-04 14:10:54
48,31,c:35,f:29,2007-06-13 18:26:31,2013-07-18 17:28:21
49,31,c:35,f:18,2007-06-13 18:26:31,2013-07-18 17:28:21
50,31,c:35,f:30,2007-06-13 18:26:31,2013-07-18 17:28:21
51,31,c:35,f:31,2007-06-13 18:26:31,2013-07-18 17:28:21
52,32,c:38,f:32,2007-06-14 18:34:46,2013-07-31 07:52:30
53,32,c:38,f:26,2007-06-14 18:34:46,2013-07-31 07:52:30
54,32,c:38,f:242,2007-06-14 18:34:46,2013-07-31 07:52:30
55,33,c:40,f:34,2007-06-15 09:36:17,2008-06-03 19:26:18
56,33,c:40,f:35,2007-06-15 09:36:17,2008-06-03 19:26:18
57,34,c:40,f:421,2007-06-15 09:44:28,2008-06-03 19:26:18
58,34,c:40,f:36,2007-06-15 09:44:28,2008-06-03 19:26:18
59,34,c:40,f:37,2007-06-15 09:44:28,2008-06-03 19:26:18
60,34,c:40,f:34,2007-06-15 09:44:28,2008-06-03 19:26:18
61,35,c:43,f:12,2007-06-16 05:19:47,2008-02-25 00:23:58
62,36,c:44,f:36,2007-06-16 06:01:27,2009-01-27 17:58:11
63,36,c:44,f:1287,2007-06-16 06:01:27,2009-01-27 17:58:11
64,37,c:44,f:29,2007-06-16 06:13:46,2009-01-27 17:58:11
65,37,c:44,f:38,2007-06-16 06:13:46,2009-01-27 17:58:11
66,37,c:44,f:1396,2007-06-16 06:13:46,2009-01-27 17:58:11
67,38,c:44,f:38,2007-06-16 06:12:01,2009-01-27 17:58:12
68,39,c:53,f:41,2007-06-18 11:45:04,2013-12-06 20:45:21
69,40,c:53,f:42,2007-06-18 11:47:12,2013-12-06 20:45:22
70,41,c:46,f:44,2007-06-19 03:17:17,2008-05-05 20:05:17
71,41,c:46,f:43,2007-06-19 03:17:17,2008-05-05 20:05:17
72,43,c:54,f:31,2007-06-20 11:04:09,2008-02-25 00:23:58
73,44,c:54,f:31,2007-06-20 11:05:08,2008-02-25 00:23:58
74,44,c:54,f:45,2007-06-20 11:05:08,2008-02-25 00:23:58
75,45,c:58,f:48,2007-06-21 05:16:09,2013-09-24 22:33:21
76,45,c:58,f:46,2007-06-21 05:16:09,2013-09-24 22:33:21
77,45,c:58,f:5,2007-06-21 05:16:09,2013-09-24 22:33:21
78,45,c:58,f:2,2007-06-21 05:16:09,2013-09-24 22:33:21
79,45,c:58,f:262,2007-06-21 05:16:09,2013-09-24 22:33:21
80,46,c:58,f:4,2007-06-21 06:08:33,2013-09-24 22:33:21
81,46,c:58,f:48,2007-06-21 06:08:33,2013-09-24 22:33:21
82,47,c:58,f:4,2007-06-21 06:09:05,2013-09-24 22:33:21
83,47,c:58,f:48,2007-06-21 06:09:05,2013-09-24 22:33:21
84,47,c:58,f:46,2007-06-21 06:09:05,2013-09-24 22:33:21
85,47,c:58,f:2,2007-06-21 06:09:05,2013-09-24 22:33:21
86,48,c:55,f:51,2008-02-05 22:44:22,2008-05-07 19:17:09
87,48,c:55,f:50,2008-02-05 22:44:22,2008-05-07 19:17:09
88,48,c:55,f:49,2008-02-05 22:44:22,2008-05-07 19:17:09
89,49,c:65,f:52,2007-06-23 07:10:02,2008-02-25 00:23:59
90,50,c:69,f:45,2008-02-05 22:44:23,2008-10-11 19:42:12
91,52,c:72,f:55,2007-06-25 20:49:00,2011-05-06 21:50:57
92,53,c:75,f:184,2007-08-15 09:31:41,2008-05-20 01:50:26
93,53,c:75,f:45,2007-08-15 09:31:41,2008-05-20 01:50:26
94,54,c:1896,f:57,2008-01-30 12:36:49,2008-08-12 18:01:07
95,55,c:1896,f:56,2008-01-30 12:34:45,2008-08-12 18:01:07
